"year","lake","lakeid","doy","percentChange","SE.percent","date_start","date_peak","date_end","duration","intensity_mean","intensity_max","intensity_var","intensity_cumulative","intensity_mean_relThresh","intensity_max_relThresh","intensity_var_relThresh","intensity_cumulative_relThresh","intensity_mean_abs","intensity_max_abs","intensity_var_abs","intensity_cumulative_abs","rate_onset","rate_decline","precip","PML.g440","biomass","biomass.during","cumulative.load","daily.load","stability.before","stability.during","stability.after","daphnia.biomass.before","daphnia.biomass.during","daphnia.biomass.after","total.biomass.before","total.biomass.during","total.biomass.after","manual.chl.before","manual.chl.during","zoop.days.before","daphnia.length.before","daphnia.length.during","daphnia.length.after","pchange.total.zoop","abschange.total.zoop","pchange.total.zoop.during.to.after","pchange.daphnia.length","abschange.daphnia.zoop","abschange.daphnia.zoop.during.to.after","tp_ugL.before","tp_ugL.after","tp_ugL.during","tn_ugL.before","tn_ugL.after","tn_ugL.during"
2009,"Peter","R",172,135.55536073946,18.1589733921224,"2009-06-21","2009-06-24","2009-06-27",7,3.2059,4.5326,0.983,22.4412,1.2302,2.5538,0.9888,8.6116,25.4475,26.784,1.0864,178.1328,0.7814,0.9851,0.762,1.22059,1.38048853133954,1.38048853133954,0,0,143.426751435219,204.874147755758,130.961364774242,0.567698106424554,1.38048853133954,0.497224517294923,4.13083174613385,4.68976868727818,3.75283410556052,2.9708,4.05017,6,0.743754029,0.993339062,0.813317299,13.5308571129157,0.558936941144333,-19.9782685286645,25.1258651298261,0.812790424914986,-0.883264014044617,7.15,7.93,9.8,359.23,310.29,315.62
2010,"Peter","R",140,150.673640366447,26.2532943056068,"2010-05-20","2010-05-26","2010-06-03",15,4.0877,5.8093,1.1848,61.3149,1.9105,3.6662,1.1125,28.6579,21.6315,23.467,1.8244,324.4727,0.5579,0.3799,12.446,1.08241,0.277498555734281,0.688282850063179,0,0,64.8124434578742,143.826498469759,131.945011793351,0.277498555734281,0.336854256848317,1.37776329417504,4.51222912874329,5.63826138527868,5.38096418315402,3.00233,1.59792,3,0.815171778,0.724634707,0.87044102,24.9551213913866,1.12603225653539,-4.56341387074492,-12.4941670783097,0.059355701114036,1.04090903732672,2.686319684,4.563553906,3.409997979,347.8591777,400.0112128,296.5413667
2010,"Peter","R",221,20.930801926238,20.6697763317118,"2010-08-09","2010-08-13","2010-08-15",7,2.9202,3.6394,0.593,20.4416,1.4987,2.2374,0.6116,10.491,26.021,26.6784,0.5505,182.1471,0.4556,0.7989,66.802,1.47392,0.0307258104650925,NA,0,0,193.954121610312,211.259659438159,142.540311135863,0.367966776181654,0.177115515739985,1.40358625007005,0.967764564853775,0.775214212475177,1.86090559513851,6.75365,2.92541,7,0.952493191,0.882924557,1.169310093,-19.8964044945882,-0.192550352378599,140.050500260675,-7.87934070339827,-0.190851260441669,1.22647073433006,5.097733,3.705775639,5.097733,233.9212514,280.807653,233.9212514
2011,"Peter","R",199,24.6864558963461,22.7474178329912,"2011-07-18","2011-07-21","2011-07-24",7,2.9251,3.7303,0.6274,20.4756,1.1507,1.9477,0.6113,8.0552,26.7932,27.6044,0.635,187.5525,0.5005,0.572,23.114,1.58907,0.508217480997561,0.508217480997561,0,0,187.446228323749,225.497223932925,209.026498242879,0.263575973776182,0.508217480997561,0.256621031585997,1.12538514006029,1.39271919165046,0.814487871551342,2.02107,2.655051449,7,0.800659418,0.930391312,0.988029003,23.7548943978281,0.267334051590171,-41.5181555309708,13.9437989506936,0.244641507221379,-0.251596449411564,-1.351206138,4.990912034,-1.351206138,354.2733759,292.4525381,354.2733759
2011,"Peter","R",216,59.9595204894097,13.1568025238872,"2011-08-04","2011-08-06","2011-08-08",5,2.0795,2.4715,0.3508,10.3976,0.5547,0.9453,0.3653,2.7733,25.5363,25.9316,0.3104,127.6813,0.4091,0.3055,75.438,1.58907,0.508217480997561,NA,0,0,212.777441705715,222.573803527815,197.138852467973,0.0515968942128978,NA,0.381128035584544,0.556683042340733,NA,0.737027318736608,3.81664,NA,3,0.863123178,NA,1.159717441,NA,NA,NA,NA,NA,NA,5.907102086,10.88024096,NA,267.0150712,385.055523,NA
2011,"Peter","R",228,-17.9276644853213,7.03099187025428,"2011-08-16","2011-08-17","2011-08-20",5,1.7975,2.0479,0.2918,8.9875,0.4501,0.6968,0.2863,2.2503,24.4682,24.8451,0.4141,122.3408,0.2372,0.2624,10.668,1.58907,0.508217480997561,NA,0,0,196.873854511275,206.849638250911,179.512609266972,0.0573022848706304,NA,0.100034915649817,0.273046707391667,NA,0.289437794236701,6.11434,NA,1,1.127123237,NA,0.742521763,NA,NA,NA,NA,NA,NA,0.876711051,1.187144456,NA,366.3374603,363.0710001,NA
2013,"Peter","R",196,7.70166483832747,12.028682035022,"2013-07-15","2013-07-18","2013-07-20",6,3.7658,4.7756,0.9193,22.5951,1.9626,2.9714,0.9176,11.7757,27.6261,28.6459,0.9291,165.7569,0.7802,0.9845,82.042,2.94784,0.600949447918687,0.600949447918687,56.1875,2.375,205.930370979004,242.341601352292,187.75797996186,0.120748582500904,0.600949447918687,0.306838091194883,0.228262054165671,0.692556102463976,0.453125985971047,3.519289955,2.681651031,7,0.979625,1.2646,1.16546666666667,203.403956034376,0.464294048298305,-34.5719452389611,22.5347936106279,0.480200865417783,-0.294111356723804,10.8350757142857,15.63985,16.624696,364.013824285714,399.525505,368.642328
2013,"Peter","R",237,NA,NA,"2013-08-25","2013-08-29","2013-09-01",8,3.0859,4.2473,0.8036,24.6872,1.6843,2.8419,0.7977,13.4741,24.6592,25.7684,0.7844,197.2739,0.653,0.6923,22.098,2.94784,0.600949447918687,NA,68.0625,2.375,176.259854167551,199.811798185944,150.850971447459,1.0674475428608,1.69722246463593,NA,1.55926934517776,2.1654729382554,NA,5.805906333,2.688257923,6,1.2328,1.3068,NA,38.8774136394335,0.606203593077644,NA,5.6626874808693,0.62977492177513,NA,19.9933471428571,NA,15.0486176433333,494.655072857143,NA,480.607315122222
2014,"Peter","R",146,747.216408450103,259.499457727736,"2014-05-26","2014-05-31","2014-06-02",8,3.4264,4.335,0.7515,27.4113,1.1454,1.9885,0.6901,9.1634,21.5178,22.7979,1.1814,172.1428,0.4079,0.5175,26.67,1.91149,0.0306700690286304,0.0306700690286304,0,0,51.4744598026338,106.76469387176,117.208180625849,0,0,0.016341883297363,0.0311626311050356,0.0325782204125313,0.206155175516343,NA,2.50817704430986,7,NA,NA,0.939411532801586,4.54258596690509,0.00141558930749575,532.800603918329,NA,0,0.016341883297363,16,14.5,10.875,289,301.5,281.75
2015,"Peter","R",226,-13.2851637698498,14.2099286369077,"2015-08-14","2015-08-16","2015-08-18",5,2.1086,2.7636,0.5142,10.5431,0.7457,1.4046,0.5149,3.7283,24.9348,25.593,0.5459,124.6738,0.6478,0.6629,40.386,1.42786,0.0126036314855998,NA,87,0,183.362189313919,216.318473217243,165.735983531753,0.115475591052296,0.0734038074809697,0.750903235743179,0.603303917449446,0.441778379561927,1.41686064116892,4.17955247994999,3.50757181790073,4,0.842333333333333,0.7706,0.946866666666667,-26.7734939581349,-0.161525537887519,220.717515097478,-9.30876373388698,-0.0420717835713263,0.677499428262209,10,2,9,402.5,339.5,333.5
2018,"Peter","R",143,214.171895002344,90.5972302766383,"2018-05-23","2018-05-29","2018-06-01",10,4.7385,6.6796,1.5206,47.3848,2.531,4.4025,1.4439,25.3095,22.4049,24.7125,1.9909,224.0486,0.7503,1.0934,0,1.49695,0.00653039908409722,0.00653039908409722,0,0,75.1542848179495,138.587847946929,117.16597033969,NA,0.00653039908409722,0.034318525616234,NA,0.053223345227396,0.0772981939620323,NA,1.21737040814066,NA,NA,0.95858,1.310508,NA,NA,45.2336256426137,NA,NA,0.0277881265321368,NA,8,NA,NA,209,NA
2018,"Peter","R",180,16.4526342181905,19.1566822844556,"2018-06-29","2018-06-30","2018-07-11",13,2.5584,3.6315,0.4257,33.2595,0.7035,1.7497,0.4161,9.1454,25.8616,26.5259,0.3607,336.2008,1.0433,0.1803,0,1.68119,0.0391450786063599,0.021882194016158,0,0,200.16219848664,232.081027164873,232.354987290924,0.0162366737759589,0.0391450786063599,0.00504169804143482,0.0598127873014977,0.0946511478227118,0.0546723210597154,2.01622720990537,2.46792120749602,4,0.865102,1.094892,0.898103333333333,58.2456730290876,0.034838360521214,-42.2380791809091,20.9874581237236,0.022908404830401,-0.0341033805649251,3,3.5,12.5,298,328,253.5
2018,"Peter","R",223,NA,NA,"2018-08-11","2018-08-14","2018-08-20",10,2.2871,3.0885,0.4592,22.8708,0.9114,1.7008,0.4524,9.1142,25.141,26.0607,0.5941,251.4099,0.4322,0.2663,0,1.68119,0.00504169804143482,NA,0,0,201.724902188112,231.876503174691,199.306114508284,0.0027257966798723,0.00639172880941927,NA,0.0533720464056978,0.0696039361039819,NA,3.64342729390877,1.62557994771362,5,0.803585333333333,0.909061333333333,NA,30.4127175017806,0.0162318896982841,NA,11.6027374757259,0.00366593212954697,NA,3,5,4.33333333333333,243,259,207.333333333333
2019,"Peter","R",196,283.239199059171,20.9467145937754,"2019-07-15","2019-07-17","2019-07-19",5,2.2885,2.5883,0.2949,11.4424,0.4834,0.7812,0.293,2.4171,26.1457,26.4501,0.2859,130.7284,0.2604,0.2709,0,1.86543,0.0533503175897432,0.0533503175897432,55.5,3,221.707860007933,236.777215024429,221.342563708317,0.0430791505504541,0.0533503175897432,0.0899147976907302,0.11305593872974,0.116270180196486,0.133714524695639,2.93950509994468,5.07456614140326,7,1.139952,1.24808066666667,1.452002,2.84305406939289,0.0032142414667462,15.003283274932,8.6635959961992,0.0102711670392891,0.036564480100987,8.75,14,8.5,292.25,366.666666666667,319.25
2019,"Peter","R",215,23.828452448554,8.1911598380254,"2019-08-03","2019-08-05","2019-08-07",5,2.0423,2.4897,0.318,10.2116,0.502,0.9492,0.3133,2.5099,25.5498,26.0002,0.3472,127.749,0.3886,0.391,0,1.86543,0.0533503175897432,NA,70.5,3,213.943069601711,227.700414109311,207.546422211624,0.0347289865510461,0.0334927143259491,0.0329316088024831,0.0940420298428071,0.0689390501375034,0.0607059265150766,43.7733548476732,23.356292555965,5,1.35025333333333,1.07751733333333,1.16125533333333,-26.6933622628773,-0.0251029797053037,-11.9426125048217,-25.3115185772728,-0.001236272225097,-0.000561105523465999,20.3333333333333,NA,NA,528.333333333333,NA,NA
2009,"Paul","L",172,43.2878934570838,20.6232777184838,"2009-06-21","2009-06-24","2009-06-27",7,3.4272,4.7721,0.9569,23.9906,1.4516,2.7933,0.9609,10.161,25.629,26.9836,1.0482,179.4028,0.7645,1.0094,0.762,1.19756,0.0522900543693864,0.0522900543693864,0,0,70.7321587153927,102.029033191942,56.6960159517104,0.0221638040386156,0.0522900543693864,0.353244330056042,0.734067808380904,0.636195543338087,1.08006067360049,2.75555,2.09822,5,0.700772226,0.704027236,0.927326441,-13.3328643383353,-0.0978722650428171,69.7686638817788,0.462341488163669,0.0301262503307708,0.300954275686656,1.7,4.36,5.7,255.54,260.32,256.04
2010,"Paul","L",139,46.0169716349227,25.024927497157,"2010-05-19","2010-05-26","2010-06-03",16,4.3216,6.0804,1.2572,69.1464,2.1642,3.9374,1.1639,34.6266,21.7151,24.0045,1.9955,347.4412,0.5515,0.4022,17.272,1.17453,0.0542429225900809,0.0689310265007925,0,0,27.3781028617043,67.8996593922011,57.4198326014467,0.0542429225900809,0.0255543121196399,0.050472249002242,1.52278791579524,0.58698807819721,0.663894866303306,7.21307,4.2368,1,1.002450824,0.956219554,1.064826608,-61.4530643362329,-0.935799837598029,13.1019335762826,-4.83479654924522,-0.028688610470441,0.0249179368826021,2.306646779,7.856184383,4.305452209,237.7062305,323.1436169,238.6203014
2010,"Paul","L",221,47.9676661751041,27.8754532327153,"2010-08-09","2010-08-13","2010-08-15",7,2.8165,3.6761,0.6666,19.7153,1.3949,2.2741,0.6864,9.7645,25.8773,26.6752,0.617,181.1413,0.5177,0.8885,66.802,1.47392,0.201173989502739,NA,0,0,85.8987937681839,95.3196261647009,61.2851754601321,0.183946598913933,0.0790250175741436,0.311464714137716,0.684997298206637,0.583252982391296,0.839149642222028,3.52562,2.84471,6,1.108917594,1.402956963,1.180050135,-14.8532433750781,-0.101744315815341,43.8740422349105,20.9585451838269,-0.104921581339789,0.232439696563572,3.846485217,1.846923037,3.42076691,229.323179,219.8302562,204.0514703
2011,"Paul","L",199,132.131221319618,49.1573680800361,"2011-07-18","2011-07-21","2011-07-24",7,2.9353,3.8921,0.68,20.547,1.161,2.1094,0.6655,8.1268,26.7635,27.7262,0.6873,187.3444,0.5624,0.6199,23.114,1.33574,0.127174448547394,0.127174448547394,0,0,92.0942139943029,111.567932169792,99.4774342274732,0.575075421346623,0.127174448547394,0.110184332400231,1.71271018759375,0.577506455899356,0.415890891989201,2.43805,2.06362,6,1.050724626,1.057188392,1.025376797,-66.2811338379019,-1.13520373169439,-27.9850661857052,0.611410988704838,-0.447900972799229,-0.016990116147163,7.831485001,7.181632156,5.220437919,268.2124466,343.8330724,305.1316439
2013,"Paul","L",195,144.519366896572,23.4184850750596,"2013-07-14","2013-07-18","2013-07-20",7,3.4212,4.5811,1.0111,23.9482,1.6175,2.777,1.0107,11.3223,27.2339,28.4115,1.0312,190.6375,0.6789,0.9247,137.922,1.72725,0.211603819072833,0.211603819072833,0,0,98.9196990548996,116.466415705688,87.2898806855186,0.0799798751789033,0.211603819072833,1.08305776941954,0.696850733880392,0.588134628832134,1.49006858716623,2.986717059,1.453286297,5,0.885933333333333,0.996733333333333,1.23986666666667,-15.6010605661381,-0.108716105048258,153.355016711918,11.1163132900809,0.13162394389393,0.871453950346707,7.26025285714286,3.27765833333333,5.094565,297.360248571429,280.02721,299.6739
2013,"Paul","L",237,NA,NA,"2013-08-25","2013-08-29","2013-09-01",8,3.0182,4.0436,0.7481,24.1457,1.6166,2.6382,0.7416,12.9327,24.5517,25.5248,0.7262,196.4132,0.611,0.6404,22.098,1.72725,0.211603819072833,NA,0,0,76.6199498928995,88.9267256156872,60.8765026948874,0.68291989168606,0.117573298175942,NA,0.860860318875455,0.22351943139525,NA,1.256630739,2.289144233,5,1.29066666666667,1.1058,NA,-74.0353427270019,-0.637340887480205,NA,-16.7179116175321,-0.565346593510118,NA,-4.77822857142857,NA,-3.82435683344444,275.46462,NA,288.2149826
2014,"Paul","L",149,99.8809180303842,81.1981769411447,"2014-05-29","2014-06-01","2014-06-02",5,3.7506,4.4468,0.805,18.7529,1.4143,2.0803,0.7675,7.0716,22.115,23.0169,1.0914,110.5752,0.6335,0.8359,2.794,1.24362,0.111155901530599,NA,0,0,43.6571109965978,67.3413144508786,63.8910040651169,0,NA,0,0.0610291662893393,NA,0.141556795657214,2.76886199737762,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.75,6.5,11,222.75,214.5,234.2
2015,"Paul","L",226,23.0306130255638,13.5134314396423,"2015-08-14","2015-08-16","2015-08-18",5,2.164,2.895,0.5696,10.8198,0.801,1.536,0.5691,4.0049,24.9502,25.6845,0.6081,124.7508,0.6679,0.733,40.386,1.33574,0.13475346318371,NA,0,0,72.4310220984048,88.0838276946305,60.15923361643,0.154281079372141,0.355200782962604,0.421560574499452,0.425050226948667,0.90855047527415,0.640883083388861,2.48053455152276,2.39041949967021,3,0.990333333333333,0.942466666666667,1.1488,113.751321060669,0.483500248325482,-29.4609269567023,-5.0788710476055,0.200919703590463,0.066359791536848,9,NA,12,237.5,NA,231.5
2018,"Paul","L",143,64.9080805002974,35.7496092572804,"2018-05-23","2018-05-30","2018-06-01",10,4.7762,6.7077,1.5482,47.7622,2.5687,4.4265,1.4711,25.6871,22.4027,24.8707,2.0176,224.027,0.6313,1.5524,0,1.12847,0.00783664772943865,0.00783664772943865,0,0,41.4968638882551,74.4110247656465,58.2738938637161,NA,0.00783664772943865,0.0140913431544947,NA,0.0446992618770544,0.0457085879257484,NA,2.04726902121755,NA,NA,0.822774666666667,1.020636,NA,NA,2.25803739549486,NA,NA,0.00625469542505605,NA,8,NA,NA,233,NA
2018,"Paul","L",180,-15.5578830922764,16.5564171344012,"2018-06-29","2018-06-30","2018-07-11",13,2.5803,3.5656,0.4294,33.5442,0.7254,1.6838,0.4223,9.4302,25.8436,26.4201,0.4014,335.9667,1.0486,0.1604,0,1.31271,0.0489487780379459,0.0179221734049166,0,0,94.1201290514124,108.899410013604,106.170805626816,0.0489487780379459,0.0241050042791491,0.0435185711666666,0.11280766086078,0.0774934809631512,0.0773381039522701,1.84527042860778,2.63965565421269,3,0.992887333333333,1.00455533333333,1.00420733333333,-31.3047709953061,-0.0353141798976288,-0.200503331312453,1.16150893961012,-0.0248437737587968,0.0194135668875175,12,6.5,11.5,249,285,221.25
2018,"Paul","L",223,NA,NA,"2018-08-11","2018-08-14","2018-08-20",10,2.1565,2.9275,0.4583,21.565,0.7808,1.5398,0.4485,7.8083,24.9705,25.8598,0.6065,249.705,0.3983,0.2664,0,1.77331,0.0435185711666666,NA,0,0,83.9143846787053,96.5825295281007,78.3261673558533,0.0114279326941433,0.0108875752288074,0.0634558934049481,0.0542239732444282,0.0608694135146287,0.151484318080936,3.56728088828911,1.7656245286022,4,0.896632,0.90092,1.007284,12.2555391510034,0.0066454402702005,148.867714233077,0.475957909692322,-0.0005403574653359,0.0525683181761407,6,4.5,5.5,339,423,255
2019,"Paul","L",196,-2.97168447956157,14.8688203972169,"2019-07-15","2019-07-16","2019-07-20",6,2.3587,2.6966,0.3418,14.1524,0.5555,0.8892,0.3373,3.3332,26.1791,26.5054,0.3295,157.0748,0.4011,0.2611,0,1.58907,0.0301663773334432,0.0301663773334432,0,0,NA,NA,NA,0.0411405008986476,0.0301663773334432,0.0584201179743654,0.0801907903218062,0.0693297078233292,0.11391277408756,4.28729931341097,4.02991569169172,6,1.15481933333333,1.059534,1.23593933333333,-13.5440521971306,-0.010861082498477,64.305862038017,-8.99313597613008,-0.0109741235652044,0.0282537406409222,7,6,4.75,297.75,273.5,277
2019,"Paul","L",215,42.1276792105969,9.53123591346239,"2019-08-03","2019-08-05","2019-08-07",5,1.9005,2.2897,0.2856,9.5024,0.3601,0.7492,0.2796,1.8007,25.3681,25.7603,0.3195,126.8403,0.364,0.3614,0,1.58907,0.0301663773334432,NA,0,0,NA,NA,NA,0.0523480561364715,0.0610539989004461,0.175238494897653,0.0858623336598759,0.11010532043103,0.21114309409978,5.42477551671105,5.5178761059875,4,1.37193133333333,1.210892,1.18793,28.234716828438,0.0242429867711546,91.7646606660028,-13.2992317509183,0.0087059427639746,0.114184495997207,6,NA,NA,269,NA,NA
2013,"Tuesday","T",186,189.91972550788,32.4863239377504,"2013-07-05","2013-07-08","2013-07-09",5,2.679,3.2837,0.5134,13.3948,0.8291,1.436,0.519,4.1456,25.6279,26.3043,0.6158,128.1395,0.4122,0.7676,12.446,5.82659,NA,NA,35.875,1.75,161.940719300474,196.595880088989,191.921282732549,0,NA,0,0.132736090178489,NA,0.182118809320506,5.966252714,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.8164871428571,18.876215,18.557224,472.819487142857,490.978115,487.805784
2013,"Tuesday","T",195,110.749635579356,22.6060690321428,"2013-07-14","2013-07-18","2013-07-21",8,3.5568,5.1495,1.2808,28.454,1.7557,3.3453,1.277,14.0453,26.883,28.4907,1.2937,215.0641,0.7948,1.0328,137.922,6.65567,NA,NA,53.8125,2.0625,193.869597108194,221.6206571846,166.575392500694,0,0,0.0302305697066767,0.182118809320506,0.193592536083104,0.327968416643497,10.93118795,5.54823757,4,NA,NA,0.956538461538462,6.30013275696632,0.0114737267625982,69.4117052646644,NA,0,0.0302305697066767,19.5553428571429,23.3926733333333,22.2807028571429,488.688814285714,581.53642,553.627165714286
2013,"Tuesday","T",236,NA,NA,"2013-08-24","2013-08-29","2013-09-01",9,3.1395,4.6838,1.0457,28.2554,1.7423,3.2784,1.0342,15.6808,24.2438,25.6758,0.9417,218.1939,0.5894,0.8014,22.098,6.65567,NA,NA,68.0625,2.375,165.136095353698,189.469693437418,145.049783988073,0,0,NA,0.318819774855686,0.265568996266638,NA,21.64699125,10.08901038,3,NA,NA,NA,-16.702470420209,-0.0532507785890478,NA,NA,0,NA,34.6731271428571,NA,20.09583774,578.340805714286,NA,521.55892553
2014,"Tuesday","T",146,590.108930650253,103.62612125738,"2014-05-26","2014-06-01","2014-06-03",9,3.5361,4.5832,0.8634,31.8247,1.2458,2.2167,0.8171,11.2118,21.1991,22.6993,1.205,190.792,0.4133,1.0809,26.67,4.55994,0.0107612051329452,NA,0,0,47.4758817999246,95.504126831953,101.916197036759,0,0,0.0107612051329452,0.0684326436577218,0.085310749690347,0.104009596604015,NA,6.04375442266067,5,NA,NA,2.35,24.6638228928347,0.0168781060326252,21.9185120064459,NA,0,0.0107612051329452,17,29,15.7777777777778,413,462.166666666667,405.888888888889
2015,"Tuesday","T",206,-45.5517817432387,7.28663292127018,"2015-07-25","2015-07-27","2015-07-29",5,2.7657,3.5783,0.6879,13.8283,1.0853,1.8968,0.6908,5.4266,26.0391,26.8533,0.6863,130.1954,0.7145,0.8067,4.572,4.55994,0.0379027010290355,NA,150,3,NA,NA,NA,0,0.00427165606161411,0,0.422588997194186,0.706243653796348,1.68286471458108,7.42107856483171,6.43122606402939,3,NA,0.9485,NA,67.1230577429866,0.283654656602162,138.283870663473,NA,0.00427165606161411,-0.00427165606161411,30,NA,36,517.5,NA,517.5
2015,"Tuesday","T",226,70.073653552949,23.1430878573167,"2015-08-14","2015-08-16","2015-08-18",5,2.6402,3.2884,0.619,13.201,1.2772,1.9293,0.6205,6.386,24.9372,25.5887,0.6424,124.6862,0.7067,0.7537,40.386,4.55994,0.0379027010290355,NA,150,3,NA,NA,NA,0,NA,0,0.943254913532018,NA,0.583439376306583,14.5573536213744,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,40,NA,541.5,681.5,NA
