"event_no","index_start","index_peak","index_end","duration","date_start","date_peak","date_end","intensity_mean","intensity_max","intensity_var","intensity_cumulative","intensity_mean_relThresh","intensity_max_relThresh","intensity_var_relThresh","intensity_cumulative_relThresh","intensity_mean_abs","intensity_max_abs","intensity_var_abs","intensity_cumulative_abs","rate_onset","rate_decline","lake","year","lake_year"
1,145,149,152,8,2009-06-20,2009-06-24,2009-06-27,3.0061,4.5362,1.0767,24.0489,2.0918,3.6277,1.0805,16.734,25.1808,26.784,1.2573,201.4466,0.7771,0.9849,"R",2009,"R_2009"
2,226,233,243,18,2010-05-19,2010-05-26,2010-06-05,3.6775,5.7988,1.4241,66.1944,2.6953,4.7965,1.4146,48.5155,21.3252,23.467,1.9173,383.8534,0.5894,0.4653,"R",2010,"R_2010"
3,275,277,280,6,2010-07-07,2010-07-09,2010-07-12,1.9074,2.3332,0.4955,11.4443,0.8907,1.3167,0.4999,5.3443,25.5289,25.9514,0.4438,153.1737,0.3678,0.3674,"R",2010,"R_2010"
4,302,312,315,14,2010-08-03,2010-08-13,2010-08-16,2.0889,3.6221,0.9707,29.2441,1.2439,2.8339,1.0072,17.414,25.3475,26.6784,0.8845,354.8652,0.2488,0.8794,"R",2010,"R_2010"
5,327,331,332,6,2010-08-28,2010-09-01,2010-09-02,1.9869,2.7837,0.7718,11.9213,1.1499,1.9318,0.759,6.8991,23.338,23.933,0.6175,140.0281,0.4709,0.9382,"R",2010,"R_2010"
6,357,360,361,5,2011-06-05,2011-06-08,2011-06-09,2.7857,4.7065,1.465,13.9284,1.8818,3.8074,1.4661,9.4088,22.5134,24.6126,1.5742,112.5669,1.0337,2.8776,"R",2011,"R_2011"
7,384,387,390,7,2011-07-02,2011-07-05,2011-07-08,1.8417,2.3839,0.3139,12.8916,0.845,1.3872,0.3169,5.9149,25.1642,25.7153,0.3109,176.1491,0.3458,0.3369,"R",2011,"R_2011"
8,399,403,422,24,2011-07-17,2011-07-21,2011-08-09,1.9435,3.7298,0.8292,46.645,0.9639,2.6948,0.816,23.1345,25.6532,27.6044,0.8881,615.678,0.7265,0.1432,"R",2011,"R_2011"
9,428,430,434,7,2011-08-15,2011-08-17,2011-08-21,1.5856,2.0268,0.4259,11.0992,0.8334,1.2753,0.4267,5.8337,24.2749,24.8451,0.5474,169.9246,0.4215,0.302,"R",2011,"R_2011"
10,496,500,501,6,2013-07-04,2013-07-08,2013-07-09,1.9983,2.6672,0.5161,11.9896,0.9951,1.6601,0.5088,5.9705,25.4348,26.2128,0.644,152.6089,0.4035,0.6499,"R",2013,"R_2013"
11,506,510,513,8,2013-07-14,2013-07-18,2013-07-21,3.2429,4.7765,1.2429,25.9436,2.2079,3.7371,1.2403,17.6635,27.0972,28.6459,1.2554,216.7776,0.7614,1.0045,"R",2013,"R_2013"
12,544,552,556,13,2013-08-21,2013-08-29,2013-09-02,2.3364,4.2129,1.1311,30.3737,1.5324,3.3908,1.1186,19.9217,24.1087,25.7684,1.0363,313.4126,0.3646,0.7999,"R",2013,"R_2013"
13,570,576,583,14,2014-05-25,2014-05-31,2014-06-07,2.7029,4.3282,1.0449,37.8412,1.7413,3.3498,1.0336,24.3782,21.1879,22.7979,1.1974,296.6312,0.5794,0.4419,"R",2014,"R_2014"
14,752,755,757,6,2015-07-24,2015-07-27,2015-07-29,1.9827,2.9398,0.7233,11.896,0.9731,1.9334,0.7282,5.8387,25.797,26.7479,0.7111,154.7818,0.5807,0.7315,"R",2015,"R_2015"
15,773,775,777,5,2015-08-14,2015-08-16,2015-08-18,2.0885,2.7435,0.5144,10.4425,1.3287,1.9845,0.5139,6.6436,24.9348,25.593,0.5459,124.6738,0.6469,0.6639,"R",2015,"R_2015"
16,791,806,811,21,2015-09-01,2018-05-29,2018-06-03,2.8802,6.6714,2.1222,60.4837,1.9107,5.6834,2.1088,40.1254,20.899,24.7125,2.7538,438.8788,0.006,1.1182,"R",2015,"R_2015"
17,826,838,857,32,2018-06-18,2018-06-30,2018-07-19,2.0195,3.6358,0.6044,64.6225,1.0432,2.6825,0.6039,33.3816,25.039,26.5259,1.0171,801.2479,0.22,0.1368,"R",2018,"R_2018"
18,879,883,890,12,2018-08-10,2018-08-14,2018-08-21,2.0822,3.0703,0.604,24.987,1.31,2.2944,0.6051,15.7198,24.9506,26.0607,0.7368,299.4073,0.4806,0.309,"R",2018,"R_2018"
19,945,948,963,19,2019-07-03,2019-07-06,2019-07-21,1.9623,2.6956,0.4705,37.2836,0.9417,1.694,0.474,17.8914,25.6199,26.4501,0.477,486.7779,0.4118,0.1077,"R",2019,"R_2019"
20,975,978,981,7,2019-08-02,2019-08-05,2019-08-08,1.7934,2.4793,0.4832,12.554,0.8764,1.5576,0.4781,6.1347,25.3081,26.0002,0.5079,177.1568,0.466,0.4462,"R",2019,"R_2019"
1,145,149,152,8,2009-06-20,2009-06-24,2009-06-27,3.2744,4.8108,1.0385,26.1949,2.36,3.9023,1.0425,18.88,25.3741,26.9836,1.2089,202.9926,0.7748,1.0093,"L",2009,"L_2009"
2,225,233,243,19,2010-05-18,2010-05-26,2010-06-05,3.9124,6.105,1.5518,74.3351,2.9298,5.1027,1.5425,55.6653,21.3755,24.0045,2.1304,406.1346,0.5993,0.4993,"L",2010,"L_2010"
3,272,276,280,9,2010-07-04,2010-07-08,2010-07-12,1.8043,2.6111,0.6229,16.2383,0.7942,1.604,0.6198,7.1474,25.2536,26.0817,0.6961,227.2826,0.336,0.3511,"L",2010,"L_2010"
4,307,312,314,8,2010-08-08,2010-08-13,2010-08-15,2.5928,3.6939,0.9218,20.7426,1.7831,2.9057,0.9478,14.2651,25.6656,26.6752,0.8277,205.3247,0.5333,0.8894,"L",2010,"L_2010"
5,328,330,332,5,2010-08-29,2010-08-31,2010-09-02,2.2452,2.8609,0.688,11.2259,1.4029,2.0231,0.6845,7.0146,23.4551,24.074,0.6413,117.2757,0.745,0.6638,"L",2010,"L_2010"
6,356,360,361,6,2011-06-04,2011-06-08,2011-06-09,2.621,5.0566,1.5736,15.7261,1.7128,4.1575,1.5796,10.2768,22.1839,24.8877,1.7713,133.1035,1.0918,3.1378,"L",2011,"L_2011"
7,384,387,390,7,2011-07-02,2011-07-05,2011-07-08,1.8244,2.3815,0.3436,12.7706,0.8277,1.3848,0.3481,5.7939,25.0719,25.6379,0.3081,175.5031,0.302,0.334,"L",2011,"L_2011"
8,399,403,422,24,2011-07-17,2011-07-21,2011-08-09,1.906,3.9266,0.8704,45.7434,0.9264,2.8916,0.8531,22.233,25.5407,27.7262,0.9396,612.9765,0.7612,0.1629,"L",2011,"L_2011"
9,428,430,433,6,2011-08-15,2011-08-17,2011-08-20,1.5127,1.9832,0.3908,9.0761,0.7605,1.2317,0.3934,4.563,24.1685,24.6821,0.4248,145.0113,0.5435,0.302,"L",2011,"L_2011"
10,496,510,514,19,2013-07-04,2013-07-18,2013-07-22,2.2294,4.6171,1.2501,42.3579,1.2067,3.5777,1.2438,22.9267,25.8491,28.4115,1.3418,491.1325,0.2678,0.9215,"L",2013,"L_2013"
11,544,552,556,13,2013-08-21,2013-08-29,2013-09-02,2.2408,4.0443,1.1758,29.1307,1.4368,3.2222,1.1607,18.6789,23.9381,25.5248,1.0417,311.1948,0.4007,0.7635,"L",2013,"L_2013"
12,571,577,583,13,2014-05-26,2014-06-01,2014-06-07,2.7192,4.4758,1.0618,35.349,1.7612,3.5136,1.0481,22.8951,21.2321,23.0169,1.1051,276.0169,0.4334,0.5318,"L",2014,"L_2014"
13,752,755,758,7,2015-07-24,2015-07-27,2015-07-30,1.937,2.8664,0.7222,13.5592,0.9305,1.86,0.7237,6.5134,25.6666,26.5995,0.7212,179.6661,0.5506,0.5617,"L",2015,"L_2015"
14,773,775,777,5,2015-08-14,2015-08-16,2015-08-18,2.1789,2.91,0.57,10.8946,1.4191,2.151,0.5685,7.0957,24.9502,25.6845,0.6081,124.7508,0.6669,0.734,"L",2015,"L_2015"
15,791,807,811,21,2015-09-01,2018-05-30,2018-06-03,2.9787,6.7353,2.1143,62.552,2.0092,5.7505,2.0993,42.1936,20.9225,24.8707,2.6836,439.3723,0.0061,1.344,"L",2015,"L_2015"
16,826,838,857,32,2018-06-18,2018-06-30,2018-07-19,2.0557,3.605,0.6108,65.7821,1.0794,2.6517,0.6052,34.5412,25.0002,26.4201,1.0608,800.0076,0.2053,0.1342,"L",2018,"L_2018"
17,879,883,890,12,2018-08-10,2018-08-14,2018-08-21,1.9914,2.9444,0.5998,23.897,1.2191,2.1685,0.5987,14.6298,24.7848,25.8598,0.7486,297.4173,0.4507,0.306,"L",2018,"L_2018"
18,945,958,963,19,2019-07-03,2019-07-16,2019-07-21,2.0964,2.7335,0.4758,39.8324,1.0758,1.7012,0.4767,20.4403,25.679,26.5054,0.515,487.9018,0.107,0.3034,"L",2019,"L_2019"
19,975,978,981,7,2019-08-02,2019-08-05,2019-08-08,1.6919,2.3144,0.4624,11.843,0.7748,1.3927,0.4586,5.4237,25.1315,25.7603,0.4846,175.9208,0.4401,0.4041,"L",2019,"L_2019"
1,39,41,43,5,2013-06-24,2013-06-26,2013-06-28,2.5639,3.5204,0.9629,12.8194,1.6453,2.6048,0.9602,8.2265,24.5105,25.4905,1.0632,122.5523,1.2609,0.8284,"T",2013,"T_2013"
2,49,63,67,19,2013-07-04,2013-07-18,2013-07-22,2.5567,5.1486,1.3672,48.5778,1.534,4.1092,1.3621,29.1466,25.7242,28.4907,1.4416,488.7592,0.2706,1.0148,"T",2013,"T_2013"
3,97,105,109,13,2013-08-21,2013-08-29,2013-09-02,2.5881,4.6475,1.1912,33.6455,1.7841,3.8255,1.1816,23.1939,23.8331,25.6758,1.1325,309.8305,0.3969,0.9417,"T",2013,"T_2013"
4,123,130,136,14,2014-05-25,2014-06-01,2014-06-07,2.9139,4.5753,1.1301,40.7949,1.9522,3.613,1.1223,27.3314,20.8716,22.6993,1.3358,292.2031,0.527,0.5024,"T",2014,"T_2014"
5,304,308,311,8,2015-07-23,2015-07-27,2015-07-30,2.1897,3.5725,0.9572,17.5172,1.1806,2.566,0.959,9.4449,25.4743,26.8533,0.9549,203.7944,0.6377,0.7705,"T",2015,"T_2015"
6,325,328,331,7,2015-08-13,2015-08-16,2015-08-19,2.1333,3.2665,0.9704,14.9329,1.3717,2.5075,0.973,9.6019,24.4492,25.5887,0.9942,171.1442,0.7966,0.8472,"T",2015,"T_2015"
